Location,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale,PopTotal
World,1950,0,0,41603.063,39904.125,81507.189
World,1950,1,1,36997.342,35535.68,72533.022
World,1950,2,2,34245.42,32852.067,67097.486
World,1950,3,3,32359.045,31034.558,63393.603
World,1950,4,4,30007.403,28814.396,58821.799
World,1950,5,5,28064.786,26926.025,54990.81
World,1950,6,6,27335.356,26193.907,53529.262
World,1950,7,7,26943.301,25801.547,52744.847
World,1950,8,8,26952.319,25796.237,52748.556
World,1950,9,9,26991.203,25835.306,52826.51
World,1950,10,10,26744.793,25565.128,52309.921
World,1950,11,11,26604.114,25383.45,51987.565
World,1950,12,12,26560.175,25306.716,51866.891
World,1950,13,13,26163.516,25018.451,51181.967
World,1950,14,14,25579.678,24613.295,50192.973
World,1950,15,15,24957.794,24103.332,49061.126
World,1950,16,16,24442.102,23601.761,48043.863
World,1950,17,17,24002.317,23217.863,47220.18
World,1950,18,18,23543.679,22820.525,46364.204
World,1950,19,19,23417.8,22708.703,46126.503
World,1950,20,20,23184.888,22523.756,45708.644
World,1950,21,21,22833.357,22263.649,45097.006
World,1950,22,22,22405.732,21888.451,44294.183
World,1950,23,23,21642.761,21305.679,42948.44
World,1950,24,24,21050.044,20968.313,42018.357
World,1950,25,25,20487.383,20640.763,41128.147
World,1950,26,26,19772.569,20096.755,39869.324
World,1950,27,27,19035.59,19452.975,38488.565
World,1950,28,28,18468.576,18855.386,37323.962
World,1950,29,29,18063.858,18413.24,36477.099
World,1950,30,30,17340.623,17658.5,34999.122
World,1950,31,31,16392.329,16652.804,33045.134
World,1950,32,32,15809.776,15992.393,31802.169
World,1950,33,33,15592.29,15765.276,31357.567
World,1950,34,34,15699.497,15992.651,31692.148
World,1950,35,35,15987.084,16412.899,32399.983
World,1950,36,36,16036.44,16504.482,32540.922
World,1950,37,37,15758.653,16232.383,31991.036
World,1950,38,38,15337.454,15773.35,31110.804
World,1950,39,39,15099.602,15522.632,30622.234
World,1950,40,40,14914.414,15316.317,30230.73
World,1950,41,41,14582.104,14957.272,29539.376
World,1950,42,42,14193.166,14535.406,28728.572
World,1950,43,43,13799.58,14097.32,27896.9
World,1950,44,44,13441.673,13741.761,27183.434
World,1950,45,45,13065.183,13363.373,26428.555
World,1950,46,46,12699.644,13032.141,25731.785
