"","(Intercept)","Year","CC9_Households","CC10_Household_Size","CC11_Population_Estimate","CC12_Total_Population","B14__declared_legal_protected","B14__undeclared_illegal_unprotected","B14__resettled","Eviction_Threats","EE2A_Current_Eviction_Threat","EE2B_Current_Eviction_Seriousnesshigh","EE2B_Current_Eviction_Seriousnesslow","EE2B_Current_Eviction_Seriousnessmedium","EE2B_Current_Eviction_Seriousnessnone","C13__few_rent","C13__less_half_rent","C13__half_rent","C13__most_rent","C13__no_rent","FF1_8_Water_Sourcesindividual_taps","FF1_8_Water_Sourcesshared_taps","FF1_8_Water_Sourcescommunity_taps","FF1_8_Water_Sourceswells","FF1_8_Water_Sourcesdams","FF1_8_Water_Sourcessprings","`FF6_Supply_(private=1,municipality=0)_springs`","FF1_8_Water_Sourcesrivers","FF1_8_Water_Sourceswater_tankers","FF1_8_Water_Sourceswater_kiosk","FF11_Water_MonthlyCost","FF12_Water_CollectionTime10_minutes","FF12_Water_CollectionTime15_minutes","FF12_Water_CollectionTime30_minutes","FF12_Water_CollectionTime30_minutes_to_1_hour","FF12_Water_CollectionTime5_minutes","FF12_Water_CollectionTimemore_than_1_hour","FF13_Water_Fetchanimal","FF13_Water_Fetchmotorized_transport","FF13_Water_Fetchother","FF13_Water_Fetchwalk","FF13_Water_Fetchwheel_barrow","FF14_Water_HoursPerDay","`FF15_Main_Water_Line_(yes=1, no=0)`","GG1_Sewer_Line","GG2_Sewer_Connected","GG4_Toilets_Pay_Amount","GG7_10_Toilet_Typesindividual_toilets","GG7_Managermunicipality","GG7_Managerother","GG7_Managerprivate","GG7_Managerprivate_group","GG7_Managerprivate_individual","GG7_10_Toilet_Typesshared_toilets","GG7_10_Toilet_Typescommunal_toilets","GG9_Managercommunity","GG9_Managermunicipality","GG9_Managerother","GG9_Managerprivate","GG9_Managerprivate_individual","GG7_10_Toilet_Typespublic_toilets","GG10_Managercommunity","GG10_Managermunicipality","GG10_Managerother","GG10_Managerprivate","GG10_Managerprivate_group","GG10_Managerprivate_individual","GG11_Toilet_AverageWait10_minutes","GG11_Toilet_AverageWait15_minutes","GG11_Toilet_AverageWait30_minutes","GG11_Toilet_AverageWait5_minutes","DD1_Location_Problemscanal","DD1_Location_Problemsslope","DD1_Location_Problemsflood_prone_area","DD1_Location_Problemsgarbage_dump","DD1_Location_Problemsroad_side","DD1_Location_Problemsopen_drains","DD1_Location_Problemswater_body","DD1_Location_Problemsrailway_track","DD1_Location_Problemsmine_dump","DD1_Location_Problemssinking_soil","DD1_Location_Problemsindustrial_hazards","DD1_Location_Problemsunder_power_lines","DD1_Location_Problemsother","DD2_Location_Dangerous","JJ1_Electricity_Availableno","JJ1_Electricity_Availableyes","Y_train"
"152",1,2003,1400,5,108,102,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,1,0,0,0,1,0,24,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.08
"416",1,2009,2080,16,52,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,30000,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"216",1,2004,550,20,305,157,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30000,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0277777777777778
"464",1,2015,600,16,268,237,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30000,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0070997515086972
"493",1,1958,4000,14,82,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,120,1,0,0,0,0,0,0,0,0,0,1,24,1,0,0,12,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.220032840722496
"24",1,1968,2000,16,44,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,180,0,0,0,0,1,0,0,0,0,1,0,24,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
"276",1,1986,2000,15,497,447,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,30000,1,0,0,0,0,0,0,0,0,1,0,24,1,1,1,17,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333
"465",1,1899,4000,19,234,215,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,1,0,0,0,0,1,0,18,1,1,1,47,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.204545454545455
"287",1,1980,500,19,268,484,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,600,0,1,0,0,0,0,0,0,0,0,1,8,1,1,1,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0.343434343434343
"237",1,1829,1200,15,375,321,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24000,1,0,0,0,0,0,0,0,0,1,0,12,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0.549720670391061
"496",1,1799,15000,16,496,220,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,70,0,1,0,0,0,0,0,0,0,1,0,10,1,0,0,21,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"235",1,1930,1500,16,484,433,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,30000,1,0,0,0,0,0,0,0,0,1,0,12,1,1,0,17,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0.2
"350",1,2009,5423,16,252,77,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,25000,0,0,0,0,1,0,0,0,0,1,0,24,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.137931034482759
"295",1,1961,3000,16,122,466,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,50,0,0,0,0,0,1,0,0,0,0,1,24,1,0,0,12,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.3
"53",1,1992,340,16,34,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,360,0,1,0,0,0,0,0,0,0,1,0,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.979768786127168
"462",1,1994,5619,15,224,219,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20000,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0196850393700787
"126",1,1986,850,16,361,316,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,30000,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.833333333333333
"22",1,1970,296,16,23,21,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,500,0,1,0,0,0,0,0,0,0,1,0,6,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
"168",1,1940,158,5,30,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10126582278481
"486",1,1969,9000,16,388,345,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,48000,0,1,0,0,0,0,0,0,0,1,0,24,1,0,0,40,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0.125
